ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
09,003,0001,090030004469,2,09-003-0001-00,00113,37,04,09003000446901,01,1,3,65,01,2017,0402,009,221,1,,,,,,5
09,003,0001,090030004470,2,09-003-0001-00,00113,37,04,09003000447001,01,1,1,35,99,9999,9999,999,999,9,,,,,,5
09,003,0001,090030004519,2,09-003-0001-00,00115,34,04,09003000451901,01,1,3,29,09,2018,0501,009,415,2,,,,,,5
09,003,0001,090030004556,2,09-003-0001-00,00116,33,01,09003000455601,01,1,1,26,03,2015,0102,009,446,2,,,,,,5
09,003,0001,090030004574,2,09-003-0001-00,00116,33,01,09003000457401,01,1,3,43,08,2019,0102,009,213,2,,,,,,5
09,003,0001,090030004646,2,09-003-0001-00,00118,34,04,09003000464601,01,1,3,56,09,2019,0102,009,221,3,12,2019,0102,1,01,5
09,003,0001,090030004657,2,09-003-0001-00,00119,33,04,09003000465701,01,1,1,27,08,2017,0501,009,446,3,09,2017,0501,1,01,5
09,003,0001,090030004757,2,09-003-0001-00,00127,33,01,09003000475701,01,1,3,28,03,2018,0102,009,245,2,,,,,,5
09,003,0001,090030004909,2,09-003-0001-00,00133,32,01,09003000490901,01,1,3,21,11,2016,0401,009,221,3,02,2019,0402,1,05,5
09,003,0001,090030004922,2,09-003-0001-00,00133,32,04,09003000492201,01,1,3,44,02,2020,0601,009,440,2,,,,,,5
09,003,0001,090030004922,2,09-003-0001-00,00133,32,04,09003000492202,02,1,1,6,02,2020,0301,009,440,2,,,,,,5
09,003,0001,090030004922,2,09-003-0001-00,00133,32,04,09003000492203,03,1,1,2,02,2020,0301,009,440,2,,,,,,5
09,003,0001,090030004927,2,09-003-0001-00,00133,32,02,09003000492701,01,1,3,31,09,2019,0102,009,402,2,,,,,,5
